zonedist,residfar,commfar,facilfar
BPC,0.00000000000,0.00000000000,0.00000000000
C1-6,3.44000000000,2.00000000000,6.50000000000
C1-6A,4.00000000000,2.00000000000,4.00000000000
C1-7,6.02000000000,2.00000000000,6.50000000000
C1-7A,6.02000000000,2.00000000000,6.50000000000
C1-8,7.52000000000,2.00000000000,10.0000000000
C1-8A,7.52000000000,2.00000000000,7.50000000000
C1-8X,9.00000000000,2.00000000000,9.00000000000
C1-9,10.0000000000,2.00000000000,10.0000000000
C1-9A,10.0000000000,2.00000000000,10.0000000000
C2-6,3.44000000000,2.00000000000,6.50000000000
C2-6A,4.00000000000,2.00000000000,4.00000000000
C2-7,7.52000000000,2.00000000000,10.0000000000
C2-7A,7.52000000000,2.00000000000,7.50000000000
C2-8,10.0000000000,2.00000000000,10.0000000000
C2-8A,10.0000000000,2.00000000000,10.0000000000
C3,0.600000000000,0.500000000000,1.00000000000
C3A,0.600000000000,0.500000000000,1.00000000000
C4-1,1.25000000000,1.00000000000,2.00000000000
C4-2,2.43000000000,3.40000000000,4.80000000000
C4-2A,3.00000000000,3.00000000000,3.00000000000
C4-2F,6.02000000000,3.40000000000,6.50000000000
C4-3,2.43000000000,3.40000000000,4.80000000000
C4-3A,3.00000000000,3.00000000000,3.00000000000
C4-4,3.44000000000,3.40000000000,6.50000000000
C4-4A,4.00000000000,4.00000000000,4.00000000000
C4-4D,6.02000000000,3.40000000000,6.50000000000
C4-4L,3.45000000000,4.00000000000,4.00000000000
C4-5,3.44000000000,3.40000000000,6.50000000000
C4-5A,4.00000000000,4.00000000000,4.00000000000
C4-5D,4.20000000000,4.20000000000,4.20000000000
C4-5X,5.00000000000,4.00000000000,5.00000000000
C4-6,10.0000000000,3.40000000000,10.0000000000
C4-6A,10.0000000000,3.40000000000,10.0000000000
C4-7,10.0000000000,10.0000000000,10.0000000000
C5-1,10.0000000000,4.00000000000,10.0000000000
C5-1A,10.0000000000,4.00000000000,10.0000000000
C5-2,10.0000000000,10.0000000000,10.0000000000
C5-2.5,10.0000000000,12.0000000000,12.0000000000
C5-2A,10.0000000000,10.0000000000,10.0000000000
C5-3,10.0000000000,15.0000000000,15.0000000000
C5-4,10.0000000000,10.0000000000,10.0000000000
C5-5,10.0000000000,15.0000000000,15.0000000000
C5-P,8.00000000000,8.00000000000,8.00000000000
C6-1,3.44000000000,6.00000000000,6.50000000000
C6-1A,2.43000000000,6.00000000000,6.00000000000
C6-1G,3.44000000000,6.00000000000,6.50000000000
C6-2,6.02000000000,6.00000000000,6.50000000000
C6-2A,6.02000000000,6.00000000000,6.50000000000
C6-2G,6.02000000000,6.00000000000,6.50000000000
C6-2M,6.02000000000,6.00000000000,6.50000000000
C6-3,7.52000000000,6.00000000000,10.0000000000
C6-3A,7.52000000000,6.00000000000,7.50000000000
C6-3D,9.00000000000,9.00000000000,9.00000000000
C6-3X,9.00000000000,6.00000000000,9.00000000000
C6-4,10.0000000000,10.0000000000,10.0000000000
C6-4.5,10.0000000000,12.0000000000,12.0000000000
C6-4A,10.0000000000,10.0000000000,10.0000000000
C6-4M,10.0000000000,10.0000000000,10.0000000000
C6-4X,10.0000000000,10.0000000000,10.0000000000
C6-5,10.0000000000,10.0000000000,10.0000000000
C6-5.5,10.0000000000,12.0000000000,12.0000000000
C6-6,10.0000000000,15.0000000000,15.0000000000
C6-6.5,10.0000000000,12.0000000000,12.0000000000
C6-7,10.0000000000,15.0000000000,15.0000000000
C6-7T,10.0000000000,14.0000000000,14.0000000000
C6-9,10.0000000000,15.0000000000,15.0000000000
C7,0.00000000000,2.00000000000,0.00000000000
C8-1,0.00000000000,1.00000000000,2.40000000000
C8-2,0.00000000000,2.00000000000,4.80000000000
C8-3,0.00000000000,2.00000000000,6.50000000000
C8-4,0.00000000000,5.00000000000,6.50000000000
M1-1,0.00000000000,1.00000000000,2.40000000000
M1-1D,1.65000000000,1.00000000000,2.40000000000
M1-1/R5,1.25000000000,1.00000000000,2.00000000000
M1-1/R7-2,3.44000000000,1.00000000000,6.50000000000
M1-1/R7D,4.20000000000,1.00000000000,4.20000000000
M1-2,0.00000000000,2.00000000000,4.80000000000
M1-2D,1.65000000000,2.00000000000,4.80000000000
M1-2/R5B,1.65000000000,2.00000000000,2.00000000000
M1-2/R5D,2.00000000000,2.00000000000,2.00000000000
M1-2/R6,2.70000000000,2.00000000000,4.80000000000
M1-2/R6A,3.00000000000,2.00000000000,3.00000000000
M1-2/R6B,2.00000000000,2.00000000000,2.00000000000
M1-2/R7-2,3.44000000000,2.00000000000,6.50000000000
M1-2/R7A,4.00000000000,2.00000000000,4.00000000000
M1-2/R8,7.20000000000,2.00000000000,6.50000000000
M1-2/R8A,6.02000000000,2.00000000000,6.02000000000
M1-3,0.00000000000,5.00000000000,6.50000000000
M1-3/R7X,5.00000000000,5.00000000000,5.00000000000
M1-3/R8,7.20000000000,5.00000000000,6.50000000000
M1-4,0.00000000000,2.00000000000,6.50000000000
M1-4D,1.65000000000,2.00000000000,6.50000000000
M1-4/R6A,3.00000000000,2.00000000000,3.00000000000
M1-4/R6B,2.00000000000,2.00000000000,2.00000000000
M1-4/R7-2,3.45000000000,2.00000000000,6.50000000000
M1-4/R7A,4.00000000000,2.00000000000,4.00000000000
M1-4/R7X,3.75000000000,2.00000000000,5.00000000000
M1-4/R8A,5.40000000000,2.00000000000,6.50000000000
M1-5,0.00000000000,5.00000000000,6.50000000000
M1-5A,0.00000000000,5.00000000000,6.50000000000
M1-5B,0.00000000000,5.00000000000,6.50000000000
M1-5M,0.00000000000,5.00000000000,6.50000000000
M1-5/R10,10.0000000000,5.00000000000,10.0000000000
M1-5/R7-2,4.00000000000,5.00000000000,6.50000000000
M1-5/R7-3,5.00000000000,5.00000000000,5.00000000000
M1-5/R7X,5.00000000000,5.00000000000,5.00000000000
M1-5/R8A,6.02000000000,5.00000000000,6.50000000000
M1-5/R9,8.00000000000,8.00000000000,8.00000000000
M1-5/R9-1,9.00000000000,5.00000000000,9.00000000000
M1-6,0.00000000000,10.0000000000,10.0000000000
M1-6D,10.0000000000,10.0000000000,10.0000000000
M1-6/R10,12.0000000000,12.0000000000,12.0000000000
M1-6/R9,0.00000000000,0.00000000000,0.00000000000
M2-1,0.00000000000,2.00000000000,0.00000000000
M2-2,0.00000000000,5.00000000000,0.00000000000
M2-3,0.00000000000,2.00000000000,0.00000000000
M2-4,0.00000000000,5.00000000000,0.00000000000
M3-1,0.00000000000,2.00000000000,0.00000000000
M3-2,0.00000000000,2.00000000000,0.00000000000
PARK,0.00000000000,0.00000000000,0.00000000000
PARKNYS,0.00000000000,0.00000000000,0.00000000000
PARKUS,0.00000000000,0.00000000000,0.00000000000
R10,10.0000000000,0.00000000000,10.0000000000
R10A,10.0000000000,0.00000000000,10.0000000000
R10H,10.0000000000,0.00000000000,10.0000000000
R1-1,0.500000000000,0.00000000000,1.00000000000
R1-2,0.500000000000,0.00000000000,1.00000000000
R1-2A,0.500000000000,0.00000000000,1.00000000000
R2,0.500000000000,0.00000000000,1.00000000000
R2A,0.500000000000,0.00000000000,1.00000000000
R2X,1.02000000000,0.00000000000,1.00000000000
R3-1,0.600000000000,0.00000000000,1.00000000000
R3-2,0.600000000000,0.00000000000,1.00000000000
R3A,0.600000000000,0.00000000000,1.00000000000
R3X,0.600000000000,0.00000000000,1.00000000000
R4,0.900000000000,0.00000000000,2.00000000000
R4-1,0.900000000000,0.00000000000,2.00000000000
R4A,0.900000000000,0.00000000000,2.00000000000
R4B,0.900000000000,0.00000000000,2.00000000000
R5,1.25000000000,0.00000000000,2.00000000000
R5A,1.10000000000,0.00000000000,2.00000000000
R5B,1.35000000000,0.00000000000,2.00000000000
R5D,2.00000000000,0.00000000000,2.00000000000
R6,2.43000000000,0.00000000000,4.80000000000
R6A,3.00000000000,0.00000000000,3.00000000000
R6B,2.00000000000,0.00000000000,2.00000000000
R7-1,3.44000000000,0.00000000000,4.80000000000
R7-2,3.44000000000,0.00000000000,6.50000000000
R7-3,5.00000000000,0.00000000000,5.00000000000
R7A,4.00000000000,0.00000000000,4.00000000000
R7B,3.00000000000,0.00000000000,3.00000000000
R7D,4.20000000000,0.00000000000,4.20000000000
R7X,5.00000000000,0.00000000000,5.00000000000
R8,6.02000000000,0.00000000000,6.50000000000
R8A,6.00000000000,0.00000000000,6.00000000000
R8B,4.00000000000,0.00000000000,4.00000000000
R8X,6.02000000000,0.00000000000,6.50000000000
R9,7.52000000000,0.00000000000,10.0000000000
R9A,7.52000000000,0.00000000000,7.52000000000
R9X,9.00000000000,0.00000000000,9.00000000000
ZNA,0.00000000000,0.00000000000,0.00000000000
ZR 11-151,0.00000000000,0.00000000000,0.00000000000
