bbl,newbldgarea,oldbldgarea,difference
2039297501,107643,009203399,9095756
2039377501,2207763,009203399,6995636
2039387501,2402218,009203399,6801181
2039437501,2409161,009203399,6794238
2039627501,94794,003911254,3816460
1015367501,638814,001858121,1219307
1015377501,650624,001858121,1207497
1007027501,3001515,004111184,1109669
2039447501,2812639,003911254,1098615
1009627501,1153372,002076426,923054
3044147501,52920,000924761,871841
1012657501,2117061,002963699,846638
1000057501,559271,001354691,795420
1010477501,523693,001237706,714013
1010497501,2103820,002797249,693429
1000047501,1888126,002542563,654437
4019137501,88783,000699956,611173
4019107501,90325,000699956,609631
4009467501,11666,000620346,608680
4009497501,25400,000620346,594946
4009727501,34998,000620346,585348
4009747501,51182,000620346,569164
4009487501,51302,000620346,569044
4010077501,55829,000620346,564517
4049787502,36731,600002,563271
4009737501,67489,000620346,552857
4010097501,72631,000620346,547715
4010087501,77569,000620346,542777
4019117501,178069,000699956,521887
4009477501,109287,000620346,511059
3044157501,421206,000924761,503555
3044237501,423957,000924761,500804
1013027501,1270270,001760893,490623
1000627501,1690747,002139035,448288
1018467501,185295,000632707,447412
3045157501,224515,000658262,433747
3021807501,52656,000476310,423654
3021757501,52656,000476310,423654
3021387501,52716,000476310,423594
3021717501,61432,000476310,414878
3045167501,248830,000658262,409432
1010027501,1793091,002200404,407313
3023487501,17332,000424587,407255
4050667501,1591806,001997508,405702
1000847501,561157,000959910,398753
1010907502,839703,001234867,395164
3021667501,83647,000476310,392663
1010277501,665696,001050872,385176
1018457501,251334,000632707,381373
3023247502,268010,000632007,363997
1002487501,1094309,001451246,356937
1011057501,632629,000978663,346034
3021687501,140955,000476310,335355
4019127501,368854,000699956,331102
1012617501,1204839,001529036,324197
1012967502,1241644,001562144,320500
1010197502,1028336,001346418,318082
1009367501,869426,001171064,301638
1013137501,1103169,001402032,298863
4076217502,176672,000475216,298544
1010517502,1008670,001285029,276359
1009207501,200417,000476739,276322
3001497501,1148280,001420963,272683
2030277501,101741,000371258,269517
3023327502,365596,000632007,266411
5012787501,145560,000411952,266392
1013147502,760700,001013617,252917
1008387501,316572,000568820,252248
1000747501,744146,000995083,250937
1008127501,27945,000272725,244780
1011717510,630198,000866992,236794
1014647502,243321,000476089,232768
1008897501,977745,001205501,227756
1011167501,968442,001182195,213753
3080587501,30576,000240491,209915
1012927502,583015,000791233,208218
3014677501,28792,234287,205495
1012627502,488441,000691519,203078
1010137501,789726,000991439,201713
1000157501,1202417,001402831,200414
1006077503,533883,000728292,194409
1014207501,848848,001032457,183609
1010697501,562325,000743083,180758
3075767501,488934,000665111,176177
1010737501,538277,000712141,173864
1001377502,103856,000274175,170319
3019577501,29701,000199617,169916
3019597501,31025,000199617,168592
1010477502,703796,000870000,166204
3001567502,789331,000954162,164831
4010107501,94222,000256485,162263
1000167508,429205,000590974,161769
4010117501,95261,000256485,161224
1013607501,303391,000464072,160681
1012097502,32250,000191009,158759
3019587501,40905,000199617,158712
1001427501,770447,000928915,158468
4159327501,16599,000174699,158100
1010117501,498293,000654775,156482
4159317501,19813,000174699,154886
4159047501,20386,000174699,154313
1001327501,119928,000274175,154247
1000257501,377483,000530168,152685
1013407501,713461,000865222,151761
1001237501,857524,001008544,151020
4056877501,11214,000160200,148986
4000067502,522805,000671698,148893
4056887501,12816,000160200,147384
4056707501,12816,000160200,147384
1010087503,700403,000847000,146597
1009947501,1041794,001188090,146296
1010327501,508695,000650500,141805
1011147503,695701,000837002,141301
1013457502,9503,150768,141265
1000317501,542247,000683289,141042
1008277501,4620,144899,140279
1001007502,900766,001040589,139823
4055987501,20826,000160200,139374
1008067502,434250,000571378,137128
1009187501,396248,000531892,135644
1000267501,810798,000944252,133454
1011657503,435775,000568662,132887
1008417501,99398,000231828,132430
1012927501,626593,000756693,130100
1010477503,813798,000941351,127553
1010407501,626821,000752861,126040
1010387501,3280,000128578,125298
1005127502,99287,000224409,125122
5004877501,338858,000463785,124927
3074597501,241518,000365289,123771
1011717509,541114,000663895,122781
1000447501,461169,000583639,122470
1003527501,320601,000441570,120969
4039167501,38777,000159720,120943
1015997502,364007,000484897,120890
1011407501,617105,000737506,120401
4055997501,41652,000160200,118548
1000717501,462377,000580000,117623
3054687502,41463,000158994,117531
4056697501,43254,000160200,116946
1014237501,366603,000483495,116892
1009697501,413297,000530000,116703
4050457501,267309,000383600,116291
1010897502,954682,001069903,115221
1008627503,317446,000432311,114865
1007017502,301475,000414521,113046
1013047501,1554144,001666763,112619
1013417503,357793,000469819,112026
4004187501,15240,126485,111245
1004917503,284451,000395075,110624
1012877501,804216,000914767,110551
3083507501,60240,000170304,110064
3083437501,60590,000170304,109714
1012477501,70781,000179844,109063
1008577503,367944,000475685,107741
3082737501,190426,000298092,107666
1011717507,523496,000630525,107029
4050667503,245806,000352672,106866
1008077501,473783,000579715,105932
1011717505,321950,000427256,105306
1001237502,610351,000715320,104969
1010097501,532465,000636916,104451
1013207501,256015,000360110,104095
4021117501,577426,000680488,103062
1015397502,349653,000451617,101964
1008007504,249981,000351608,101627
4159337501,73138,000174699,101561
3015037501,64479,000165529,101050
1000167517,407751,000508458,100707
1014387501,403993,000504238,100245
1015157502,339465,000439280,99815
1017467501,355544,000455211,99667
1011157503,588256,000687320,99064
4009057501,308286,000407200,98914
1012697501,404693,000503000,98307
1011137502,521228,000618334,97106
1010737502,246132,000342928,96796
1008887501,55880,000151686,95806
5016447501,37228,000132796,95568
3080607501,145080,000240491,95411
4082927502,78012,000172967,94955
1000327501,3583167,003678000,94833
3003107502,47266,000141335,94069
1010157501,589617,000682843,93226
4067137501,361600,000454660,93060
1006367503,264976,000357933,92957
1016077503,354089,000447011,92922
1011717504,297199,000389568,92369
5054377501,7029,000099375,92346
1009687501,457946,000550141,92195
2055597501,291401,000383062,91661
3020337502,1602,93191,91589
3001527501,405981,000497018,91037
1013147501,295086,000385721,90635
1008517505,146499,000236790,90291
1000167514,344863,000434680,89817
5070547502,57224,000146937,89713
1012727503,257501,000346858,89357
1010297501,529883,000618403,88520
1002177503,225630,000313991,88361
1000707501,255763,000343902,88139
1015437501,291734,000379873,88139
5070487502,25750,000113120,87370
1012917501,364639,000451845,87206
1010107506,637803,000724798,86995
1012317501,327793,000414593,86800
1013397502,217163,000303754,86591
1000277501,188278,000274516,86238
1011707502,423311,000509111,85800
3087837501,6186,000091316,85130
1010907501,434119,000518416,84297
1000907501,336447,000420470,84023
1000537502,312633,000396477,83844
1010487503,257885,000341429,83544
1000767502,388570,000472059,83489
4004377501,441484,000524274,82790
3054747502,45013,000127473,82460
4161747502,15780,000098222,82442
3087897501,103078,000185434,82356
1012687502,1246882,001329229,82347
3021067502,256303,000337601,81298
4139417501,45100,000126005,80905
1013127501,453533,000534244,80711
1000247501,239204,000319910,80706
1008647502,885162,000964505,79343
1000157502,179856,000259076,79220
1010607502,257222,000336338,79116
5024507506,116843,000195678,78835
3072797501,767493,000846120,78627
1014837501,154610,000233223,78613
3054687501,49447,000127473,78026
4082917501,94955,000172967,78012
1011407502,209555,000287538,77983
1015447501,177061,000254708,77647
1014877502,292013,000368801,76788
4005767501,75634,000152204,76570
1010037501,450162,000526729,76567
1010447501,257556,000333966,76410
3054747501,83049,000158994,75945
3002447501,220991,000296555,75564
1011717506,219648,000295205,75557
1019247502,14877,000089359,74482
1010817502,326404,000399963,73559
1008397502,327019,000399477,72458
1008637502,89790,000161252,71462
3001337501,304647,000375600,70953
1014157501,251954,000322852,70898
1010057501,221937,000292546,70609
1014847501,467115,000537491,70376
1019597501,232076,000301565,69489
4082917502,64680,000133980,69300
3003047501,89012,000157822,68810
3000367504,354231,000422950,68719
1013077501,373078,000441516,68438
2056437502,28542,000096752,68210
1018337503,323200,000390628,67428
3015077501,98150,000165529,67379
3066097501,7782,75054,67272
5070557504,46096,000113120,67024
1008097501,110130,000177075,66945
1018337502,323725,000390628,66903
1008567502,274281,000341125,66844
1012687503,279886,000346700,66814
1018337501,323840,000390628,66788
1018337504,324023,000390628,66605
4000067501,228309,000294821,66512
1005707501,262814,000329175,66361
1010177501,1918805,001984990,66185
1014647501,201251,000267235,65984
1013277502,197109,000262473,65364
5070487501,81796,000146937,65141
1011157501,556414,000621304,64890
4082907501,69300,000133980,64680
5054387501,35145,000099375,64230
1015507501,212760,000276771,64011
1008267501,282140,000345972,63832
2027487501,29825,000093600,63775
1012967501,240827,000304137,63310
5000017501,117900,000180775,62875
1012747504,715226,000777983,62757
1000277502,724299,000786942,62643
3001647502,231289,000293308,62019
1013167501,403099,000464419,61320
1015157503,340749,000402015,61266
1008597501,202855,000263972,61117
1009287503,191225,000252188,60963
1014917501,152811,000213234,60423
1015427501,425743,000485961,60218
1019027501,36269,000096482,60213
3002777501,430264,000490375,60111
1010067502,1440995,001501000,60005
2027497501,33615,000093600,59985
1011647501,233330,000293224,59894
1002027501,176254,000235963,59709
1010067501,332705,000392397,59692
1012277501,5836,000065523,59687
1013447503,215384,000274924,59540
4049957501,306,000059412,59106
1008777501,89730,000148806,59076
3010277501,158063,000217120,59057
1014557501,377313,000436168,58855
1018687501,395377,000454038,58661
5019927502,59100,000117483,58383
3003057501,82978,000141335,58357
1011387501,289899,000347922,58023
1010187502,267396,000325122,57726
5070407501,55424,000113120,57696
5014897501,20593,000078200,57607
1006027501,282969,000340372,57403
3002457501,772178,000829576,57398
3050837503,2754,59650,56896
5012227501,37890,000094611,56721
1015397501,389668,000445989,56321
1015147502,398184,000453927,55743
4031047501,1344,57079,55735
4051357502,212459,000268168,55709
4067977501,108627,000164160,55533
1003467501,224741,000280261,55520
1015137501,272113,000327619,55506
5070557503,54490,000109840,55350
1012107501,172965,000228193,55228
2059037501,111194,000166379,55185
1013977503,175074,000230164,55090
1010867501,368195,000423250,55055
1012947501,190608,000245468,54860
1009627502,800802,000855290,54488
4020757501,162781,000217143,54362
3024687501,174953,000229075,54122
5008227501,10845,000064931,54086
1000167510,251929,000305973,54044
1011717501,546985,000600967,53982
4136787501,18144,000072108,53964
4158177501,109935,000163752,53817
5016917501,23834,000077348,53514
1014047503,124816,000178251,53435
1011717502,637497,000690772,53275
1016747501,371721,000424623,52902
4114177501,149850,000202489,52639
1000167505,204572,000257092,52520
1005807501,351759,000404273,52514
4114317501,146372,000198707,52335
1012737501,198816,000251073,52257
1010737503,133274,000185351,52077
1019017501,44418,000096482,52064
1018697503,243410,000295292,51882
4097627501,38337,000089640,51303
1012597502,379888,000431000,51112
1000687501,149564,000200610,51046
1014667501,319152,000370100,50948
5014957501,105792,000156589,50797
1012827501,411780,000462417,50637
4114317502,148156,000198687,50531
1010517503,219215,000269492,50277
5014957502,101352,000151534,50182
1008907501,259254,000309398,50144
2024417501,111460,000161524,50064
1010267501,342142,000392153,50011
4114177502,149463,000199444,49981
1005707503,122272,000172252,49980
1009997501,426430,000476317,49887
4051347502,76795,000126367,49572
1011637503,201315,000250656,49341
1011257502,206585,000255908,49323
1010717501,243309,000292381,49072
4021497501,131823,000180834,49011
1011397503,702044,000750946,48902
1000557501,400490,000449355,48865
1009037501,94593,000143356,48763
1014197503,343069,000391630,48561
1014617501,258451,000306928,48477
2023517501,113262,000161524,48262
1001757506,83596,000131817,48221
1012477502,144500,000192701,48201
1015557501,176330,000224509,48179
1009447502,356238,000404375,48137
1000167520,377325,000425407,48082
1010487501,218208,000266115,47907
1013657502,236322,000284189,47867
4096517501,252342,000300145,47803
1005947503,151428,000199216,47788
1011427502,149314,000196953,47639
1008947501,110958,000158571,47613
1008687502,185140,000232631,47491
1012607502,122920,000170367,47447
5014917501,30903,000078200,47297
1014497501,216565,000263853,47288
1014737501,175694,000222899,47205
2057887501,74467,000121472,47005
5008237501,18040,000064931,46891
1010637502,127219,000173915,46696
3015357501,8004,000054600,46596
1000167521,289251,000335784,46533
1011317502,566036,000612462,46426
1010427502,216153,000262508,46355
1001937501,84191,000130088,45897
3015107501,8003,000053760,45757
1011377501,396861,000442560,45699
1011717503,322451,000368150,45699
1018517501,314997,000360660,45663
5020867501,14754,000060416,45662
1018327502,314041,000359602,45561
1011657501,159086,000204634,45548
1011167502,160124,000205665,45541
1013037501,165538,000210781,45243
1021347504,172822,000218032,45210
1015347501,221576,000266776,45200
2023817501,107696,000152699,45003
1008987501,165390,000210278,44888
1000917502,176514,000221213,44699
1011137501,199635,000244100,44465
1008037502,119248,000163650,44402
1008507503,253543,000297900,44357
3071297501,79051,000123377,44326
1018527501,588459,000632743,44284
1014167501,244134,000288394,44260
4031007502,129932,000174052,44120
3023717501,199037,000243156,44119
1012537502,130121,000174000,43879
1012267502,262783,000306605,43822
1000937501,181605,000225368,43763
5030247501,44940,000088620,43680
1008517501,363054,000406656,43602
4012707501,170708,000214300,43592
1008147501,294785,000338274,43489
5012237501,51126,000094611,43485
1002127501,98583,000142000,43417
1009357501,82420,000125776,43356
3000317503,82761,000125985,43224
4050447501,274269,000317260,42991
4007697501,321650,000364390,42740
1000167509,194762,000237270,42508
1011317501,199773,000241774,42001
3010467501,5499,000047419,41920
1011257501,100098,000141885,41787
1000167501,179174,000220821,41647
1009287504,103830,000144784,40954
1011587507,390682,000431350,40668
3027217503,49432,000089717,40285
1000167519,233010,000273018,40008
4015277501,99481,000139464,39983
1004097502,137000,000176960,39960
1011387503,93148,000132902,39754
4115477501,16819,000056330,39511
1011387502,436485,000475923,39438
1011507504,101727,000141108,39381
5024507509,137206,000176455,39249
3053227501,90551,000129767,39216
1011827501,113128,000152076,38948
1000167513,523677,000562340,38663
3022347501,7330,000045690,38360
1013927501,193124,000231346,38222
1010167501,487156,000525266,38110
3003477503,19240,000057000,37760
1007757502,177552,000215254,37702
3072697501,157347,000195018,37671
1013297501,131902,000169438,37536
3054627501,23331,000060863,37532
4050177503,56507,000093932,37425
1012187501,113279,000150704,37425
1015177502,155381,000192705,37324
3067397503,3978,000041239,37261
5016597501,95568,000132796,37228
1019297504,101943,000139130,37187
5020897501,23292,000060416,37124
1012907501,112387,000149493,37106
1011327501,210910,000248013,37103
1009117502,24086,000061100,37014
1014387502,105201,000142209,37008
1009087501,26998,000063828,36830
1012237503,301776,000338376,36600
1014147502,97321,000133851,36530
4161127501,81703,000118192,36489
1007667502,136095,000172584,36489
1004747506,117024,000153500,36476
1000167515,251430,000287819,36389
3000457501,351674,000388000,36326
1014297502,217806,000254038,36232
1015087501,108847,000145015,36168
4000217501,214774,000250720,35946
5019937502,30603,000066543,35940
4161137501,62146,000098058,35912
1015547501,149477,000185343,35866
1014837502,81980,000117739,35759
1014567501,159166,000194920,35754
1001717503,105353,000141014,35661
3054697501,25229,000060863,35634
1013367502,135186,000170778,35592
1018897502,181961,000217469,35508
1010207502,160008,000195190,35182
5005797501,138052,000173172,35120
3018877502,25272,000060350,35078
1014707501,186267,000221307,35040
1014397501,126193,000161224,35031
1008117501,193534,000228518,34984
3029077501,68938,000103921,34983
4005967502,9635,000044484,34849
1001497502,111277,000146093,34816
4045427501,49139,000083952,34813
1008177503,139901,000174519,34618
1015057502,302439,000337042,34603
1007757501,109490,000143991,34501
3024307501,1838,000036123,34285
1001007501,160157,000194294,34137
5020887501,26400,000060416,34016
1011677503,194153,000228147,33994
1001737504,132235,000166215,33980
1018287506,32354,000066215,33861
1014137501,63158,000097000,33842
1012367502,147241,000180864,33623
1008557501,116577,000150100,33523
1007687502,87047,000120545,33498
1012607503,446678,000480166,33488
1010637503,122775,000156099,33324
5030057501,60048,000093348,33300
1014107503,133729,000167023,33294
1008057502,598594,000631862,33268
3017547502,106746,000140000,33254
1002127504,245510,000278746,33236
3024947501,77028,000110256,33228
4136797501,38880,000072108,33228
3057857501,66472,000099642,33170
1013797502,173037,000206166,33129
1006957503,265686,000298794,33108
1016007503,94491,000127564,33073
1012377501,121524,000154587,33063
1012817501,323029,000356057,33028
2033177501,116918,000149937,33019
3011817501,106819,000139838,33019
5000017503,149890,000182861,32971
1008037501,66868,000099833,32965
1003037502,11752,000044673,32921
1006017501,222677,000255575,32898
1011677502,275897,000308707,32810
1007977506,15866,000048591,32725
1018947501,174081,000206780,32699
3003417502,24315,000057000,32685
5028327501,88618,000121176,32558
1013737503,126281,000158770,32489
3020757501,79330,000111804,32474
1012067501,101658,000133945,32287
2043407502,95006,000127290,32284
1000187501,334718,000366993,32275
5021407501,172519,000204771,32252
1013777502,65689,000097877,32188
4068027501,98039,000130200,32161
3015027501,8300,000040340,32040
5035857501,134673,000166712,32039
1008497508,118121,000150159,32038
5053037501,113001,000145000,31999
1002397501,81961,000113956,31995
1000167518,230066,000262021,31955
1018897501,166832,000198628,31796
3054957503,58217,000090000,31783
1009447501,88135,000119913,31778
1011417501,73400,000105147,31747
3063817501,1575,33284,31709
1012297502,157166,000188874,31708
1000167511,157584,000189273,31689
5004877502,73693,000105374,31681
1016217501,71951,000103600,31649
3004137501,78779,000110250,31471
1020457501,224416,000255868,31452
1008317502,74551,000105973,31422
1020967501,75753,000107100,31347
3001467501,129410,160577,31167
1014737502,126273,000157260,30987
5024507515,87233,000118031,30798
1013237501,169891,000200679,30788
2057237501,81632,000112390,30758
1018487503,128243,000158954,30711
5020007501,35940,000066543,30603
1018917502,101838,000132377,30539
1013207505,169384,000199738,30354
4000347502,95865,000126103,30238
1008947504,94292,000124293,30001
4001617501,51600,000081570,29970
4091777501,74295,000104225,29930
3024037501,120119,000150000,29881
3017877501,132338,000162178,29840
3067827506,60420,000090089,29669
1019287506,98860,000128517,29657
2024217501,101586,000131233,29647
1013497501,196542,000226139,29597
1015197501,178063,000207626,29563
1009157501,206121,000235574,29453
1007677505,274965,000304312,29347
4030987505,2149,000031493,29344
1010287502,98341,000127647,29306
1006997502,98610,000127715,29105
1008567503,151016,000180112,29096
1007347501,144658,000173726,29068
1008057501,111225,000140247,29022
3022637507,99744,000128756,29012
1013227501,154071,000183000,28929
4049727501,110163,000139068,28905
4000347501,130984,000159872,28888
1013387502,101315,000130200,28885
5008247501,36046,000064931,28885
1014977501,131838,000160719,28881
3087137501,122058,000150822,28764
1011687501,280723,000309449,28726
1011517503,294332,000323054,28722
4039167505,79853,000108555,28702
4049467501,61219,000089902,28683
1013947501,139973,000168588,28615
1019257501,60883,000089359,28476
3020617502,239146,000267543,28397
4101407501,23823,000052200,28377
1015277501,70723,000099039,28316
1011147501,169100,000197400,28300
4012637501,99824,000128050,28226
1006917502,91665,000119876,28211
1008167501,123964,000152152,28188
3084707501,50862,000078980,28118
1013737504,212021,000240117,28096
1013757501,70177,000098246,28069
1005847501,106765,000134774,28009
4015187501,117518,000145341,27823
3000287502,57668,000085477,27809
4050407502,184586,000212277,27691
4050397509,79315,000107000,27685
1008597502,142131,000169785,27654
1007947501,90401,000118000,27599
1000167502,123284,000150855,27571
4000167501,199706,000227257,27551
1007237502,135533,000163064,27531
1010117502,349853,000377353,27500
1000397501,90163,000117641,27478
3003417501,19053,000046515,27462
1000697502,344914,000372364,27450
3022517501,24904,000052318,27414
1016007502,130496,000157823,27327
1001497501,59814,000087136,27322
1014047501,83161,000110269,27108
1011717508,451749,000478828,27079
5024507508,65921,000093000,27079
1008927502,121435,000148455,27020
1012027501,112854,000139841,26987
1013367501,110149,000137127,26978
1006257501,132846,000159790,26944
1016077502,96980,000123753,26773
1008197502,43097,000069864,26767
1008187501,144461,000171178,26717
2057777501,32320,000059005,26685
4022647501,441890,000468546,26656
4017067501,128389,000155026,26637
1012377502,165749,000192324,26575
1006917501,118137,000144588,26451
3004767501,134943,000161372,26429
1013107502,144569,000170944,26375
1006407501,164753,000191094,26341
1019457504,153681,000180000,26319
1013097502,127933,000154226,26293
1004827504,81696,000107896,26200
4033787501,35023,000061216,26193
1008497504,185471,000211636,26165
4073537501,18635,000044790,26155
5016927501,51272,000077348,26076
1013317501,130409,000156476,26067
1010807501,247294,000273120,25826
4068317502,67511,000093282,25771
1005317501,156849,000182605,25756
1015667501,149171,000174927,25756
1012197501,151348,000177053,25705
3013327504,57650,000083355,25705
1000167516,505985,000531665,25680
4018427501,104985,000130600,25615
1011147502,138506,000164080,25574
1014567502,39057,000064630,25573
1009127502,213548,000239054,25506
4012677501,94548,000120000,25452
1011657505,115708,000141099,25391
3015407501,29233,000054600,25367
1013207502,53839,000079200,25361
1001907503,82955,000108300,25345
1008687501,67879,000093180,25301
1009407501,193347,000218567,25220
1008927503,118614,000143822,25208
3066527501,62116,000087314,25198
3003477501,21395,000046515,25120
1012537503,183177,000208241,25064
1000167506,81667,000106631,24964
4050367501,51370,000076330,24960
4006137501,87574,000112482,24908
1013227502,97459,000122349,24890
1007387501,101034,000125914,24880
1003927501,64774,000089531,24757
4068017503,49609,000074345,24736
1014077501,88955,000113524,24569
1009437501,924200,000948744,24544
1013987501,233269,000257793,24524
1008207505,684465,000708834,24369
1012727501,85989,000110280,24291
3051317501,5140,000029412,24272
1010087502,76364,000100613,24249
1018827502,117395,000141552,24157
3024607501,140836,000164950,24114
1015577502,97249,000121305,24056
4114257502,99408,000123424,24016
4031157501,125589,000149558,23969
1012847501,127585,000151552,23967
4031737501,132396,000156351,23955
1011517501,385502,000409295,23793
1001887505,70758,000094532,23774
3067607503,3729,000027500,23771
3023407501,182864,000206621,23757
1013867501,72041,000095707,23666
3000327501,59244,000082877,23633
1012287501,143389,000166952,23563
3051747501,11310,000034864,23554
1005767501,58516,000082017,23501
1018257501,36839,000060290,23451
1013887501,148586,000172006,23420
1011207501,218996,000242415,23419
1018707502,150289,000173686,23397
1018427501,92525,000115824,23299
2026907503,128670,000151965,23295
1004737502,55693,000078982,23289
3009437501,22806,000046056,23250
1015807501,104462,000127680,23218
3017717501,4285,000027500,23215
2057917501,44685,000067891,23206
4101497501,29117,000052200,23083
1007987505,43864,000066937,23073
4050667502,174323,000197318,22995
1014967501,164587,000187564,22977
1013687501,74683,000097636,22953
1000167507,106271,000129176,22905
4022207501,96356,000119194,22838
3009347504,23250,000046056,22806
5000017502,77266,000100071,22805
1018337507,106501,000129297,22796
1014417501,208802,000231493,22691
1000797502,56789,000079470,22681
3031517503,65783,000088427,22644
1008487502,133923,000156506,22583
1013697501,63426,000085992,22566
3087207503,92244,000114772,22528
1018697502,76453,000098950,22497
1012627501,139397,000161835,22438
1007677502,73496,000095919,22423
4015367501,82585,000105000,22415
4031027501,45091,000067502,22411
3087207504,92406,000114772,22366
1019237501,65082,000087400,22318
3087207507,92455,000114772,22317
1002187501,172207,000194486,22279
5024527503,121401,000143640,22239
1015787501,98881,000121120,22239
1014517501,184553,000206747,22194
1008007501,62582,000084772,22190
1010777501,91366,000113479,22113
3086797501,116565,000138675,22110
1006247503,123604,000145696,22092
1021797501,91152,000113244,22092
1012397502,70322,000092402,22080
3087207510,93642,000115687,22045
1015777502,130725,000152729,22004
1016217502,50805,000072801,21996
2023647501,57586,000079529,21943
1006077502,83082,000105000,21918
1018467503,69340,000091226,21886
1002197501,81407,000103279,21872
1009177501,113264,000135128,21864
1005047501,65473,000087285,21812
3001427501,107073,000128800,21727
3087207514,93105,000114772,21667
1008657501,64660,000086314,21654
2023687501,95567,000117206,21639
4000407501,45368,000066926,21558
1012637501,133983,000155513,21530
1015837501,93708,000115223,21515
1014367501,100343,000121855,21512
