zonedist1,zonedist1,zonedist2,zonedist2,zonedist3,zonedist3,residfar,residfar,commfar,commfar,facilfar,facilfar,count
C3,C3,M1-1,M1-1,,,0,0.600000000000,0.5,0.500000000000,0,1.00000000000,1
C3,C3,,,,,0,0.600000000000,0.5,0.500000000000,0,1.00000000000,18
C4-1,C4-1,,,,,0,1.25000000000,1,1.00000000000,0,2.00000000000,3
C4-2,C4-2,C8-1,C8-1,,,0,2.43000000000,3.4,3.40000000000,0,4.80000000000,1
C4-2,C4-2,R6A,R6A,,,3,2.43000000000,3.4,3.40000000000,3,4.80000000000,1
C4-2,C4-2,,,,,0,2.43000000000,3.4,3.40000000000,0,4.80000000000,100
C4-2,M1-1,,,,,0,0.00000000000,3.4,1.00000000000,0,2.40000000000,1
C4-2A,M1-1,C4-2,,,,0,0.00000000000,3,1.00000000000,0,2.40000000000,1
C4-2A,M1-1,,,,,0,0.00000000000,3,1.00000000000,0,2.40000000000,10
C4-4,C4-4,C8-2,C8-2,R7D,R7D,4.2,3.44000000000,3.4,3.40000000000,4.2,6.50000000000,1
C4-4,C4-4,M1-1,M1-1,,,0,3.44000000000,3.4,3.40000000000,0,6.50000000000,1
C4-4,C4-4,M1-4/R6A,M1-4/R6A,,,3,3.44000000000,3.4,3.40000000000,3,6.50000000000,1
C4-4,C4-4,M2-1,M2-1,,,0,3.44000000000,3.4,3.40000000000,0,6.50000000000,1
C4-4,C4-4,R4A,R4A,,,0.75,3.44000000000,3.4,3.40000000000,2,6.50000000000,1
C4-4,C4-4,R6,R6,,,2.43,3.44000000000,3.4,3.40000000000,4.8,6.50000000000,7
C4-4,C4-4,R7-1,R7-1,,,3.44,3.44000000000,3.4,3.40000000000,4.8,6.50000000000,3
C4-4,C4-4,R7B,R7B,,,3,3.44000000000,3.4,3.40000000000,3,6.50000000000,1
C4-4,C4-4,R7D,R7D,,,4.2,3.44000000000,3.4,3.40000000000,4.2,6.50000000000,1
C4-4,C4-4,R8,R8,,,6.02,3.44000000000,3.4,3.40000000000,6.5,6.50000000000,13
C4-4,C4-4,,,,,0,3.44000000000,3.4,3.40000000000,0,6.50000000000,556
C4-4A,C4-4A,R6A,R6A,M1-4/R7A,M1-4/R7A,3,4.00000000000,4,4.00000000000,3,4.00000000000,1
C4-4A,C4-4A,R6A,R6A,,,3,4.00000000000,4,4.00000000000,3,4.00000000000,1
C4-4A,C4-4A,R7-1,R7-1,,,3.44,4.00000000000,4,4.00000000000,4.8,4.00000000000,9
C4-4A,C4-4A,,,,,0,4.00000000000,4,4.00000000000,0,4.00000000000,61
C4-4D,C4-4D,R6A,R6A,,,3,6.02000000000,3.4,3.40000000000,3,6.50000000000,3
C4-4D,C4-4D,,,,,0,6.02000000000,3.4,3.40000000000,0,6.50000000000,20
C4-5D,C4-5D,R6,R6,,,2.43,4.20000000000,4.2,4.20000000000,4.8,4.20000000000,11
C4-5D,C4-5D,R6B,R6B,,,2,4.20000000000,4.2,4.20000000000,2,4.20000000000,5
C4-5D,C4-5D,R7-1,R7-1,,,3.44,4.20000000000,4.2,4.20000000000,4.8,4.20000000000,1
C4-5D,C4-5D,,,,,0,4.20000000000,4.2,4.20000000000,0,4.20000000000,41
C4-5X,C4-5X,M1-1,M1-1,,,0,5.00000000000,4,4.00000000000,0,5.00000000000,6
C4-5X,C4-5X,M1-4/R7A,M1-4/R7A,R6A,R6A,4,5.00000000000,4,4.00000000000,4,5.00000000000,1
C4-5X,C4-5X,M1-4/R7A,M1-4/R7A,,,4,5.00000000000,4,4.00000000000,4,5.00000000000,4
C4-5X,C4-5X,R6A,R6A,,,3,5.00000000000,4,4.00000000000,3,5.00000000000,4
C4-5X,C4-5X,R7-1,R7-1,,,3.44,5.00000000000,4,4.00000000000,4.8,5.00000000000,1
C4-5X,C4-5X,,,,,0,5.00000000000,4,4.00000000000,0,5.00000000000,114
C4-6,C4-6,R7-1,R7-1,,,3.44,10.0000000000,10,3.40000000000,4.8,10.0000000000,1
C4-6,C4-6,,,,,0,10.0000000000,10,3.40000000000,0,10.0000000000,5
C6-2,C6-2,C8-3,C8-3,,,0,6.02000000000,6,6.00000000000,0,6.50000000000,2
C6-2,C6-2,M1-1,M1-1,R7-1,R7-1,3.44,6.02000000000,6,6.00000000000,4.8,6.50000000000,1
C6-2,C6-2,M1-1,M1-1,,,0,6.02000000000,6,6.00000000000,0,6.50000000000,1
C6-2,C6-2,,,,,0,0.00000000000,6,1.00000000000,0,2.40000000000,6
C6-2,C6-2,,,,,0,3.44000000000,6,3.40000000000,0,6.50000000000,2
C6-2,C6-2,,,,,0,6.02000000000,6,6.00000000000,0,6.50000000000,9
C6-2A,C6-2A,M1-4/R6A,M1-4/R6A,,,3,6.02000000000,6,6.00000000000,3,6.50000000000,1
C6-2A,C6-2A,,,,,0,6.02000000000,6,6.00000000000,0,6.50000000000,22
C6-3D,C6-3D,R8,R8,,,6.02,9.00000000000,9,9.00000000000,6.5,9.00000000000,5
C6-3D,C6-3D,,,,,0,9.00000000000,9,9.00000000000,0,9.00000000000,12
C8-1,C8-1,M1-1,M1-1,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,1
C8-1,C8-1,R4,R4,,,0.75,0.00000000000,1,1.00000000000,2,2.40000000000,5
C8-1,C8-1,R4A,R4A,,,0.75,0.00000000000,1,1.00000000000,2,2.40000000000,2
C8-1,C8-1,R5,R5,,,1.25,0.00000000000,1,1.00000000000,2,2.40000000000,1
C8-1,C8-1,R6,R6,,,2.43,0.00000000000,1,1.00000000000,4.8,2.40000000000,9
C8-1,C8-1,R7-1,R7-1,,,3.44,0.00000000000,1,1.00000000000,4.8,2.40000000000,46
C8-1,C8-1,,,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,121
C8-2,C8-2,R8,R8,,,6.02,0.00000000000,2,2.00000000000,6.5,4.80000000000,4
C8-2,C8-2,,,,,0,0.00000000000,2,2.00000000000,0,4.80000000000,33
C8-3,C8-3,C4-4,C4-4,,,0,0.00000000000,2,2.00000000000,0,6.50000000000,1
C8-3,C8-3,C6-2,C6-2,,,0,0.00000000000,2,2.00000000000,0,6.50000000000,1
C8-3,C8-3,M1-1,M1-1,C4-5X,C4-5X,0,0.00000000000,2,2.00000000000,0,6.50000000000,1
C8-3,C8-3,R5,R5,,,1.25,0.00000000000,2,2.00000000000,2,6.50000000000,1
C8-3,C8-3,R7-1,R7-1,,,3.44,0.00000000000,2,2.00000000000,4.8,6.50000000000,23
C8-3,C8-3,R8,R8,,,6.02,0.00000000000,2,2.00000000000,6.5,6.50000000000,5
C8-3,C8-3,,,,,0,0.00000000000,2,2.00000000000,0,6.50000000000,365
C8-4,C8-4,,,,,0,0.00000000000,5,5.00000000000,0,6.50000000000,3
M1-1,M1-1,C4-2,,C4-2A,,0,0.00000000000,1,1.00000000000,0,2.40000000000,2
M1-1,M1-1,C4-4,C4-4,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,4
M1-1,M1-1,C4-5X,C4-5X,C8-3,C8-3,0,0.00000000000,1,1.00000000000,0,2.40000000000,1
M1-1,M1-1,C4-5X,C4-5X,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,7
M1-1,M1-1,C8-3,C8-3,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,1
M1-1,M1-1,M1-1/R7-2,M1-1/R7-2,,,3.44,0.00000000000,1,1.00000000000,6.5,2.40000000000,6
M1-1,M1-1,M1-4,M1-4,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,3
M1-1,M1-1,M1-4/R7A,M1-4/R7A,,,4,0.00000000000,1,1.00000000000,4,2.40000000000,5
M1-1,M1-1,R3-2,R3-2,,,0.5,0.00000000000,1,1.00000000000,1,2.40000000000,5
M1-1,M1-1,R4,R4,,,0.75,0.00000000000,1,1.00000000000,2,2.40000000000,3
M1-1,M1-1,R5,R5,,,1.25,0.00000000000,1,1.00000000000,2,2.40000000000,8
M1-1,M1-1,R6,R6,,,2.43,0.00000000000,1,1.00000000000,4.8,2.40000000000,16
M1-1,M1-1,R6A,R6A,,,3,0.00000000000,1,1.00000000000,3,2.40000000000,8
M1-1,M1-1,R7-1,R7-1,,,3.44,0.00000000000,1,1.00000000000,4.8,2.40000000000,19
M1-1,M1-1,,,,,0,0.00000000000,1,1.00000000000,0,2.40000000000,1015
M1-2,M1-2,C4-4,C4-4,,,0,0.00000000000,2,2.00000000000,0,4.80000000000,1
M1-2,M1-2,M1-1,M1-1,,,0,0.00000000000,2,2.00000000000,0,4.80000000000,1
M1-2,M1-2,M2-1,M2-1,,,0,0.00000000000,2,2.00000000000,0,4.80000000000,3
M1-2,M1-2,R6,R6,,,2.43,0.00000000000,2,2.00000000000,4.8,4.80000000000,13
M1-2,M1-2,R7-1,R7-1,,,3.44,0.00000000000,2,2.00000000000,4.8,4.80000000000,3
M1-2,M1-2,R8,R8,,,6.02,0.00000000000,2,2.00000000000,6.5,4.80000000000,3
M1-2,M1-2,,,,,0,0.00000000000,2,2.00000000000,0,4.80000000000,820
M1-3,M1-3,,,,,0,0.00000000000,5,5.00000000000,0,6.50000000000,59
M1-3/R8,M1-3/R8,,,,,6.02,7.20000000000,5,5.00000000000,6.5,6.50000000000,14
M1-4,M1-4,M1-1,M1-1,,,0,0.00000000000,2,2.00000000000,0,6.50000000000,3
M1-4,M1-4,M1-4/R7A,M1-4/R7A,,,4,0.00000000000,2,2.00000000000,4,6.50000000000,1
M1-4,M1-4,R6,R6,,,2.43,0.00000000000,2,2.00000000000,4.8,6.50000000000,3
M1-4,M1-4,,,,,0,0.00000000000,2,2.00000000000,0,6.50000000000,56
M1-4/R7X,M1-4/R7X,M1-2,M1-2,,,5,3.75000000000,2,2.00000000000,5,5.00000000000,1
M1-4/R7X,M1-4/R7X,M1-4,M1-4,,,5,3.75000000000,2,2.00000000000,5,5.00000000000,5
M1-4/R7X,M1-4/R7X,M1-4/R7A,M1-4/R7A,,,5,3.75000000000,2,2.00000000000,5,5.00000000000,8
M1-4/R7X,M1-4/R7X,,,,,5,3.75000000000,2,2.00000000000,5,5.00000000000,18
M1-4/R8A,M1-4/R8A,M1-4/R6A,M1-4/R6A,,,6.02,5.40000000000,2,2.00000000000,6.5,6.50000000000,1
M1-4/R8A,M1-4/R8A,,,,,6.02,5.40000000000,2,2.00000000000,6.5,6.50000000000,20
M1-5,M1-5,R7-1,R7-1,,,3.44,0.00000000000,5,5.00000000000,4.8,6.50000000000,2
M1-5,M1-5,,,,,0,0.00000000000,5,5.00000000000,0,6.50000000000,2
M2-1,M2-1,R7-2,R7-2,,,3.44,3.44000000000,2,3.40000000000,6.5,6.50000000000,2
M3-1,M3-1,M1-5/R8A,M1-5/R8A,,,6.02,0.00000000000,2,2.00000000000,6.5,0.00000000000,2
R3-2,R3-2,M1-1,M1-1,,,0.5,0.600000000000,1,0.00000000000,1,1.00000000000,4
R4,R4,C8-1,C8-1,,,0.75,0.900000000000,1,0.00000000000,2,2.00000000000,9
R4,R4,M1-1,M1-1,,,0.75,0.900000000000,1,0.00000000000,2,2.00000000000,11
R4-1,R4-1,M1-1,M1-1,,,0.75,0.900000000000,1,0.00000000000,2,2.00000000000,1
R4A,R4A,C4-4,C4-4,,,0.75,0.900000000000,3.4,0.00000000000,2,2.00000000000,1
R4A,R4A,C8-1,C8-1,,,0.75,0.900000000000,1,0.00000000000,2,2.00000000000,5
R5,M1-1,,R5,,,1.25,0.00000000000,0,1.00000000000,2,2.40000000000,1
R5,R5,C8-1,C8-1,,,1.25,1.25000000000,1,0.00000000000,2,2.00000000000,6
R5,R5,M1-1,M1-1,,,1.25,1.25000000000,1,0.00000000000,2,2.00000000000,7
R5B,R5B,C8-1,C8-1,,,1.35,1.35000000000,1,0.00000000000,2,2.00000000000,6
R6,R6,C4-2,C4-2,,,2.43,2.43000000000,3.4,0.00000000000,4.8,4.80000000000,15
R6,R6,C4-4,C4-4,,,2.43,2.43000000000,3.4,0.00000000000,4.8,4.80000000000,3
R6,R6,C4-5X,C4-5X,,,2.43,2.43000000000,4,0.00000000000,4.8,4.80000000000,1
R6,R6,C6-2,C6-2,,,2.43,2.43000000000,6,0.00000000000,4.8,4.80000000000,1
R6,R6,C8-1,C8-1,,,2.43,2.43000000000,1,0.00000000000,4.8,4.80000000000,32
R6,R6,C8-2,C8-2,,,2.43,2.43000000000,2,0.00000000000,4.8,4.80000000000,1
R6,R6,C8-3,C8-3,,,2.43,2.43000000000,2,0.00000000000,4.8,4.80000000000,3
R6,R6,C8-4,C8-4,,,2.43,2.43000000000,5,0.00000000000,4.8,4.80000000000,1
R6,R6,M1-1,M1-1,,,2.43,2.43000000000,1,0.00000000000,4.8,4.80000000000,7
R6,R6,M1-2,M1-2,,,2.43,2.43000000000,2,0.00000000000,4.8,4.80000000000,6
R6,R6,M1-4,M1-4,,,2.43,2.43000000000,2,0.00000000000,4.8,4.80000000000,4
R6,R6,M1-4/R7A,M1-4/R7A,,,2.43,2.43000000000,2,0.00000000000,4.8,4.80000000000,7
R6,R6,M3-1,M3-1,,,2.43,2.43000000000,2,0.00000000000,4.8,4.80000000000,1
R6,R6,,,,,2.43,1.25000000000,0,0.00000000000,4.8,2.00000000000,15
R6A,R6A,C4-4D,C4-4D,,,3,3.00000000000,3.4,0.00000000000,3,3.00000000000,15
R6A,R6A,C4-5X,C4-5X,,,3,3.00000000000,4,0.00000000000,3,3.00000000000,1
R6A,R6A,M1-1,M1-1,,,3,3.00000000000,1,0.00000000000,3,3.00000000000,5
R6B,R6B,C4-5D,C4-5D,,,2,2.00000000000,4.2,0.00000000000,2,2.00000000000,9
R7-1,R7-1,C4-4,C4-4,R8,R8,3.44,3.44000000000,3.4,0.00000000000,4.8,4.80000000000,1
R7-1,R7-1,C4-4,C4-4,,,3.44,3.44000000000,3.4,0.00000000000,4.8,4.80000000000,9
R7-1,R7-1,C4-4A,C4-4A,,,3.44,3.44000000000,4,0.00000000000,4.8,4.80000000000,4
R7-1,R7-1,C4-5X,C4-5X,,,3.44,3.44000000000,4,0.00000000000,4.8,4.80000000000,2
R7-1,R7-1,C4-6,C4-6,,,3.44,3.44000000000,10,0.00000000000,4.8,4.80000000000,1
R7-1,R7-1,C8-1,C8-1,,,3.44,3.44000000000,1,0.00000000000,4.8,4.80000000000,2
R7-1,R7-1,C8-2,C8-2,,,3.44,3.44000000000,2,0.00000000000,4.8,4.80000000000,1
R7-1,R7-1,C8-3,C8-3,,,3.44,3.44000000000,2,0.00000000000,4.8,4.80000000000,30
R7-1,R7-1,M1-1,M1-1,,,3.44,3.44000000000,1,0.00000000000,4.8,4.80000000000,11
R7-1,R7-1,M1-2,M1-2,,,3.44,3.44000000000,2,0.00000000000,4.8,4.80000000000,5
R7-1,R7-1,M1-5,M1-5,,,3.44,3.44000000000,5,0.00000000000,4.8,4.80000000000,23
R7-2,R7-2,C4-4,C4-4,,,3.44,3.44000000000,3.4,0.00000000000,6.5,6.50000000000,1
R7-2,R7-2,C6-2,C6-2,,,3.44,3.44000000000,6,0.00000000000,6.5,6.50000000000,1
R7-2,R7-2,,,,,3.44,0.00000000000,0,2.00000000000,6.5,0.00000000000,1
R7A,R7A,,,,,4,1.25000000000,0,0.00000000000,4,2.00000000000,1
R7B,R7B,C4-4,C4-4,R4A,R4A,3,3.00000000000,3.4,0.00000000000,3,3.00000000000,1
R7B,R7B,C4-4,C4-4,,,3,3.00000000000,3.4,0.00000000000,3,3.00000000000,3
R7D,R7D,C4-4,C4-4,,,4.2,4.20000000000,3.4,0.00000000000,4.2,4.20000000000,1
R7D,R7D,,,,,4.2,0.00000000000,0,2.00000000000,4.2,6.50000000000,2
R7X,R7X,,,,,5,0.00000000000,0,2.00000000000,5,4.80000000000,1
R8,R8,C4-4,C4-4,,,6.02,6.02000000000,3.4,0.00000000000,6.5,6.50000000000,21
R8,R8,C6-2,C6-2,,,6.02,6.02000000000,6,0.00000000000,6.5,6.50000000000,2
R8,R8,C6-3D,C6-3D,,,6.02,6.02000000000,9,0.00000000000,6.5,6.50000000000,6
R8,R8,C8-2,C8-2,,,6.02,6.02000000000,2,0.00000000000,6.5,6.50000000000,5
R8,R8,C8-3,C8-3,,,6.02,6.02000000000,2,0.00000000000,6.5,6.50000000000,9
R8,R8,M1-2,M1-2,,,6.02,6.02000000000,2,0.00000000000,6.5,6.50000000000,4
R8,R8,R6,R6,M1-2,M1-2,6.02,6.02000000000,2,0.00000000000,6.5,6.50000000000,1
R8,R8,,,,,6.02,2.43000000000,0,0.00000000000,6.5,4.80000000000,1
R8,R8,,,,,6.02,3.44000000000,0,0.00000000000,6.5,4.80000000000,7
R8A,R8A,,,,,6.02,0.00000000000,0,1.00000000000,6.5,2.40000000000,3
R8A,R8A,,,,,6.02,2.43000000000,0,0.00000000000,6.5,4.80000000000,2
R8A,R8A,,,,,6.02,6.00000000000,0,0.00000000000,6.5,6.00000000000,28
R8X,R8X,R7A,R7A,,,6.02,6.02000000000,0,0.00000000000,6,6.50000000000,4
R8X,R8X,,,,,6.02,6.02000000000,0,0.00000000000,6,6.50000000000,15
,M3-1,,,,,0,0.00000000000,0,2.00000000000,0,0.00000000000,1
,R7-1,,,,,0,3.44000000000,0,0.00000000000,0,4.80000000000,6
,R7D,,,,,0,4.20000000000,0,0.00000000000,0,4.20000000000,1
,R8,,,,,0,6.02000000000,0,0.00000000000,0,6.50000000000,1
